684860,https://techplay.jp/event/684860/,【未経験】でもできる。一日でホームページの土台を全て作りましょう！,2018/08/03,18:00〜21:00,シンクロードグループ大阪府寝屋川市池田中町14-10 プレアール寝屋川池田1A,"",2
684861,https://techplay.jp/event/684861/,【未経験】でもできる。一日でホームページの土台を全て作りましょう！,2018/08/05,09:00〜12:00,シンクロードグループ大阪府寝屋川市池田中町14-10 プレアール寝屋川池田1A,"",2
684862,https://techplay.jp/event/684862/,"HTML,CSSを理解して編集出来るようになる基礎を学ぶ3時間",2018/07/15,15:00〜18:30,東京都世田谷区上北沢3-10-15 アクロキューブ株式会社,"",6
684863,https://techplay.jp/event/684863/,実践 ブロックチェーン ICO Dapps 開発① ICO・クラウドセールの設計と開発環境準備,2018/08/06,19:00〜21:00,Bukatsudo横浜市西区みなとみらい２丁目２番１号 ランドマークプラザ 地下１階,0,50
684864,https://techplay.jp/event/684864/,Pythonで学ぶ時系列データ解析入門,2018/07/19,19:45〜22:00,渋谷駅徒歩5分東京都渋谷区渋谷１-８-３ TOC第１ビル2階,27,17
684868,https://techplay.jp/event/684868/,#5 FukuokaJS 今回はもくもく!,2018/07/24,19:00〜21:00,カラビナテクノロジー 3F MTGroom福岡県福岡市中央区天神1-2-4 農業共済ビル 3F,1,12
684869,https://techplay.jp/event/684869/,【サポーターズ勉強会】読み解いて理解するオブジェクト指向デザインパターン (Adapter編),2018/07/26,19:30〜21:00,渋谷スクエアA 11F東京都渋谷区道玄坂1-9-5,"",20
684870,https://techplay.jp/event/684870/,BizteXベルギービアバッシュ#03（自動化の技術を学ぶ会 with ベルギービール）,2018/07/27,19:00〜21:00,BizteX株式会社オフィス東京都港区北青山3-3-13(共和五番館 2F),5,12
684872,https://techplay.jp/event/684872/,DTM勉強会vol.2 ドラムプログラミング中～上級②,2018/07/28,10:00〜12:00,水道橋西神田ビル2Fオフィス千代田区西神田2-7-14 西神田ビル2F,"",6
684873,https://techplay.jp/event/684873/,[秋葉原]『Unityの寺子屋』定番スマホゲーム開発入門(和尚本)輪読＆勉強会 4回目,2018/07/29,18:30〜20:45,コワーキングスペース秋葉原Weeyble東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),3,13
684874,https://techplay.jp/event/684874/,Ruby 勉強会 #3 & もくもく作業会,2018/07/19,19:00〜21:00,SILN福島県福島市栄町1番35号福島キャピタルフロント7F,8,""
684875,https://techplay.jp/event/684875/,[秋葉原] ゆるふわ C# もくもく勉強会 #47,2018/07/19,19:30〜21:30,コワーキングスペース秋葉原Weeyble東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),"",12
684876,https://techplay.jp/event/684876/,[秋葉原] 自然言語処理と深層学習の勉強会(初学者向け) #初回,2018/07/20,19:30〜21:30,コワーキングスペース秋葉原Weeyble東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),40,40
684877,https://techplay.jp/event/684877/,"Blender,シェーダー,アニメ(Live2D,Spine,SpriteStudio)もくもく会",2018/07/20,19:15〜21:30,コワーキングスペース秋葉原Weeyble東京都千代田区神田須田町２丁目１９−２３ (野村第３ビル ４階),3,8
684878,https://techplay.jp/event/684878/,第20回 Scrum Masters Night!,2018/08/01,19:00〜21:00,株式会社ビズリーチ東京都渋谷区渋谷2-15-1 渋谷クロスタワー 12F,4,46
684880,https://techplay.jp/event/684880/,機械学習 名古屋 研究会 #5,2018/08/23,19:00〜21:00,有限会社来栖川電算名古屋市中区新栄1-29-23 (アーバンドエル新栄2階),"",12
684882,https://techplay.jp/event/684882/,kintone Café 大阪 Vol.19 〜 kintoneを使ってみんなで知恵をふりしぼるハンズオン 〜,2018/07/30,19:00〜20:30,大阪産業大学 サテライトキャンパス レクチャールームB大阪市北区梅田1-1-3 大阪駅前第3ビル19階,9,20
684884,https://techplay.jp/event/684884/,リモートもくもく会 #2,2018/07/19,19:30〜22:00,https://appear.in/java-kueche-mokumoku,2,10
684885,https://techplay.jp/event/684885/,四国クラウドお遍路2018 懇親会,2018/09/01,18:30〜20:30,高知県立大学 永国寺キャンパス 食堂高知市永国寺町2番22号,2,60
684893,https://techplay.jp/event/684893/,2時間でマスターしちゃう AWS Fargate ＆ Cloudwatch ハンズオン,2018/07/28,11:00〜13:00,渋谷(決まり次第告知)渋谷区渋谷,"",20
684894,https://techplay.jp/event/684894/,Google Homeアプリ開発学習会　今回のテーマは「Dialogflowだけでアプリ作成」,2018/07/18,19:00〜21:00,ギークオフィス恵比寿東京都渋谷区恵比寿4-7-6,1,5
684895,https://techplay.jp/event/684895/,【全4回】【初心者向け】データベース設計とSQL実践演習,2018/07/29,16:00〜18:00,水道橋駅付近千代田区西神田2-7-14 YS西神田ビル2F,3,8
684907,https://techplay.jp/event/684907/,MySQLセキュリティソリューション＆コンプライアンス対応セミナー,2018/08/01,13:30〜16:30,日本オラクル株式会社 本社東京都港区北青山2-5-8青山OMスクエア 13F,"",80
684908,https://techplay.jp/event/684908/,半日【HTML知識不要】WEBサイト、ECサイト制作を自分でしてみませんか？,2018/07/17,10:00〜14:30,東京駅近郊,0,10
684909,https://techplay.jp/event/684909/,半日【HTML知識不要】WEBサイト、ECサイト制作を自分でしてみませんか？,2018/07/18,10:00〜14:30,東京駅近郊,0,10
684910,https://techplay.jp/event/684910/,【大阪・梅田】WEB系言語もくもく会,2018/08/01,18:30〜20:30,株式会社スポーツフィールド大阪市北区芝田1-14-8梅田北プレイス5階,0,6
684916,https://techplay.jp/event/684916/,【7/31(火)開催】Azure IoTテクノロジー ハンズオン！,"
                    2018/07/31
                    10:00〜
                ",,AJITO島根県松江市津田町３０１,1,10
684924,https://techplay.jp/event/684924/,【神戸】GCPUG KOBE #2 【GCP】～今回のテーマは、「AI」！！～,2018/08/22,18:30〜21:00,神戸デジタル・ラボ神戸市中央区京町72番地　新クレセントビル,"",45
684925,https://techplay.jp/event/684925/,第５回CoderDojo香椎,2018/08/05,14:00〜16:00,並木スクエア　第３会議室福岡市東区千早4丁目21番45号,4,""
684929,https://techplay.jp/event/684929/,JAWS-UG京都 AWSマネージドDB祭～まだDBにEC2使ってんの？～,2018/07/31,19:15〜21:20,株式会社KYOSO 3Fイベントスペース京都市中京区蛸薬師通烏丸西入橋弁慶町227 第12長谷ビル3F,33,50
684930,https://techplay.jp/event/684930/,最大6名の少人数制　webマーケティングとは？新任webマーケティング担当者向け 入門編,2018/07/19,13:30〜16:30,サポタント株式会社　大阪支社セミナールーム大阪市北区梅田3-4-5　毎日新聞ビル4F,"",4
684932,https://techplay.jp/event/684932/,【ビジネスセミナー】Microsoft AzureとKUSANAGIで実践する、PostgreSQL最新活用セミナー,2018/07/24,14:00〜17:00,日本マイクロソフト株式会社 品川本社 東京都港区港南 2-16-3 品川グランドセントラルタワー,1,20
684933,https://techplay.jp/event/684933/,7月 よく使うセキュリティモジュールとLANDO/Dockerを学ぶ,2018/07/17,19:00〜21:30,かながわ県民センタ 7階 703号室神奈川県横浜市神奈川区鶴屋町2-24-2,"",10
